序号,零部件名称,供应商名称,故障类型,故障现象,原因分析,临时措施,永久措施,问题描述,D2-问题描述,发生频次,临时措施1,临时措施2,临时措施3,永久措施1,永久措施2,永久措施3,根本原因,流出原因
1197,车门铰链总成,开发区世创网络有限公司,功能,短路,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B98455的车门铰链总成出现批量功能缺陷,客户反馈批次B98455的车门铰链总成存在功能问题,多次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,来料批次材料硬度超标,供应商出厂检验标准不完善
1198,ECU控制器,诺依曼软件科技有限公司,外观,短路,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",诺依曼软件科技有限公司供应的ECU控制器在装配过程中出现短路,客户反馈批次B87596的ECU控制器存在外观问题,再次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,来料批次材料硬度超标,供应商出厂检验标准不完善
1199,车门铰链总成,银嘉传媒有限公司,外观,间隙超差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",银嘉传媒有限公司供应的车门铰链总成在装配过程中出现间隙超差,银嘉传媒有限公司交付的车门铰链总成在工厂011检测不合格,再次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,来料批次材料硬度超标,供应商出厂检验标准不完善
1200,后顶盖外板组件,海创网络有限公司,电气,色差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 立即隔离可疑批次B42440
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",海创网络有限公司供应的后顶盖外板组件在装配过程中出现色差,海创网络有限公司交付的后顶盖外板组件在工厂019检测不合格,再次,启用备用供应商,,,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,来料批次材料硬度超标,供应商出厂检验标准不完善
1201,后顶盖外板组件,诺依曼软件科技有限公司,功能,间隙超差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 立即隔离可疑批次B16122
2. 对在制品进行100%全检
3. 启用备用供应商","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",后顶盖外板组件在总装车间发现间隙超差问题,客户反馈批次B16122的后顶盖外板组件存在功能问题,初次,启用备用供应商,,,增加红外测温仪实时监控,更新FMEA和控制计划,,来料批次材料硬度超标,供应商出厂检验标准不完善
1202,前门密封条,东方峻景传媒有限公司,材料,压印,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",东方峻景传媒有限公司供应的前门密封条在装配过程中出现压印,客户反馈批次B24881的前门密封条存在材料问题,多次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,增加红外测温仪实时监控,更新FMEA和控制计划,,来料批次材料硬度超标,供应商出厂检验标准不完善
1203,车门铰链总成,昊嘉科技有限公司,外观,短路,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次/的车门铰链总成出现批量外观缺陷,客户反馈批次/的车门铰链总成存在外观问题,多次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,胶水固化参数设置错误,过程巡检未包含此特性检查
1204,车门铰链总成,七喜信息有限公司,外观,短路,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",车门铰链总成在商品化区域发现短路问题,客户反馈批次B79378的车门铰链总成存在外观问题,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
1205,后顶盖外板组件,联软科技有限公司,功能,短路,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 立即隔离可疑批次B73106
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",联软科技有限公司供应的后顶盖外板组件在装配过程中出现短路,联软科技有限公司交付的后顶盖外板组件在工厂002检测不合格,初次,启用备用供应商,,,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
1206,线束总成,双敏电子网络有限公司,电气,压印,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",批次B24466的线束总成出现批量电气缺陷,在涂装车间发现8件压印缺陷,初次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,增加红外测温仪实时监控,更新FMEA和控制计划,,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
1207,前门密封条,晖来计算机传媒有限公司,材料,色差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次B50946的前门密封条出现批量材料缺陷,晖来计算机传媒有限公司交付的前门密封条在工厂020检测不合格,多次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
1208,线束总成,海创网络有限公司,功能,间隙超差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",线束总成在焊装车间发现间隙超差问题,客户反馈批次B66441的线束总成存在功能问题,初次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,来料批次材料硬度超标,供应商出厂检验标准不完善
1209,后顶盖外板组件,诺依曼软件信息有限公司,外观,划伤,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",后顶盖外板组件在总装车间发现划伤问题,客户反馈批次B78723的后顶盖外板组件存在外观问题,多次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,胶水固化参数设置错误,过程巡检未包含此特性检查
1210,前门密封条,昊嘉信息有限公司,尺寸,色差,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B59105的前门密封条出现批量尺寸缺陷,在发运场发现6件色差缺陷,再次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,胶水固化参数设置错误,过程巡检未包含此特性检查
